ID,Statistical Division or Subdivision,LGA,Offence category,Subcategory,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Inner Sydney,Botany Bay,Homicide,Murder (a),1,0,0,1,2,1,0,1,0,0,1
2,Inner Sydney,Botany Bay,Homicide,Attempted murder,0,0,0,0,0,0,1,0,0,0,1
3,Inner Sydney,Botany Bay,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,1,0
4,Inner Sydney,Botany Bay,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
5,Inner Sydney,Botany Bay,Assault,Domestic violence related assault,134,120,123,129,117,168,128,133,134,133,143
6,Inner Sydney,Botany Bay,Assault,Non-domestic violence related assault,243,260,334,282,248,248,201,238,205,200,195
7,Inner Sydney,Botany Bay,Assault,Assault Police,9,12,8,17,10,14,10,13,14,8,15
8,Inner Sydney,Botany Bay,Sexual offences,Sexual assault,10,14,20,18,12,11,13,8,18,18,19
9,Inner Sydney,Botany Bay,Sexual offences,"Indecent assault, act of indecency and other sexual offences",25,25,30,24,20,31,23,22,33,31,25
10,Inner Sydney,Botany Bay,Abduction and kidnapping,,0,4,11,1,1,1,4,0,3,0,3
11,Inner Sydney,Botany Bay,Robbery,Robbery without a weapon,29,39,31,36,39,38,35,24,24,40,21
12,Inner Sydney,Randwick,Robbery,Robbery with a firearm,2,10,9,3,4,10,4,4,2,4,3
13,Inner Sydney,Randwick,Robbery,Robbery with a weapon not a firearm,18,14,11,18,25,19,14,5,9,15,9
14,Inner Sydney,Randwick,Blackmail and extortion,,0,0,0,1,2,0,1,1,2,0,0
15,Inner Sydney,Randwick,"Harassment, threatening behaviour and private nuisance",,117,178,173,146,103,112,108,129,139,123,92
16,Inner Sydney,Randwick,Other offences against the person,,11,6,4,19,8,10,10,11,8,4,4
17,Inner Sydney,Randwick,Theft,Break and enter dwelling,276,235,210,242,181,213,161,134,161,181,139
18,Outer Sidney,Randwick,Theft,Break and enter non-dwelling,255,184,153,156,142,107,73,90,66,52,33
19,Outer Sidney,Randwick,Theft,Receiving or handling stolen goods,65,74,70,48,41,59,68,42,46,37,54
20,Outer Sidney,Randwick,Theft,Motor vehicle theft,333,238,276,245,212,271,196,135,189,166,151